"Gene","Sample_1","Sample_2","Sample_3","Sample_4","Sample_5","Sample_6","Sample_7","Sample_8","Sample_9","Sample_10","Sample_11","Sample_12","Sample_13","Sample_14","Sample_15","Sample_16","Sample_17","Sample_18","Sample_19","Sample_20","Sample_21","Sample_22","Sample_23","Sample_24","Sample_25","Sample_26","Sample_27","Sample_28","Sample_29","Sample_30"
"Gene_1",9.87904870689557,9.97679255562084,11.39309955312,9.6015437877118,12.0220007905948,15.741450440952,10.6987400791118,9.17987766002548,8.81564993006544,11.5564448447326,9.32740651927408,4.44003347565339,9.37699420909153,12.0699123932537,13.2212467126649,7.61278717502373,7.78356353976318,6.64840668332767,9.34487514831519,4.97941852804334,8.96505474710109,6.2619336996559,6.07853347024676,8.021623332815,11.3769826164579,8.51917945560375,7.06460846305608,3.91780007375824,6.60744903491435,8.81601030487687
"Gene_2",10.5396450210334,11.4738757582553,12.3002263773345,12.9929030593328,14.6159855568303,10.6663760858969,12.6018811167758,11.5613253351177,8.32491629029992,7.79492453294935,10.5588540139431,11.2830667171327,13.7821128368746,11.7236472345746,9.90031474992524,8.51629456280605,7.86226470167606,11.0788499903538,9.1047520800084,6.43647037538912,9.44272931336717,6.88589778595967,8.13649997072228,6.47788947806847,7.95772066098574,9.83502143117859,10.2670220620235,9.46521057812882,8.57702821812466,9.11801009047822
"Gene_3",14.1174166282982,9.9168216567566,12.342008375804,9.61450929286334,7.59477007933756,12.8539227906974,8.62656430350671,8.92865920684064,13.2184839353807,10.3582009346378,6.79297046555211,8.26315735852641,10.9762412417025,7.21806792975244,11.0097117208186,6.92337485322224,9.93500762023597,9.26627461112492,7.40630557613312,13.143162928756,6.98441539884283,9.96698324568717,7.79931315851439,5.7238788806283,7.95899902815836,6.55536331013395,11.1133592705388,12.5957653602158,5.13815096335583,8.56015047219132
"Gene_4",11.1410167828492,13.4384552940861,8.43168446973554,10.7930339063226,11.5748975177013,9.86369650449809,11.8612727274722,11.5460974873423,12.6214029840078,8.54777170226424,7.66438491395469,9.54450269461018,9.20789033060325,8.1873647355172,8.39547519563824,5.64187437746799,5.61775161245298,7.83330581848476,9.03373800833637,6.78305506646639,7.87058250444404,7.38295841567775,5.09884372244882,5.84900865668418,5.33439291059015,6.3834319511804,5.6947631352123,5.76211001711666,7.93719550400518,9.99549132759928
"Gene_5",11.2585754703219,11.3482717502123,6.94778083442094,12.2077321286374,10.461771689983,11.4501801611834,11.4334941888865,12.075596299292,9.2480373113424,9.44668484249077,8.80407428405398,10.8640133583949,8.82426921214504,10.1961435641212,14.4733424117138,9.8012948451151,8.81788131402639,6.80166089572695,8.55007339693404,8.66152139480933,10.6042423403222,8.26606724037183,8.49559105732562,8.90706439716483,7.99899093585426,7.71729596788006,7.44517371792669,10.7815217486756,6.56250836721916,6.36980399802883
"Gene_6",14.4301299737666,9.76946336780705,15.4106521287416,9.78391003328107,10.240950557277,13.263971811018,12.9225846910349,12.0007863529194,11.4141886647366,11.1755527106211,7.66875758755704,12.0278093103999,14.1233611856291,11.1535901765104,10.2492804485944,7.96750090491268,8.96501481554411,4.42623376977249,9.01402323154084,9.49327911921003,7.56272625384195,8.26117052542283,11.289392047018,6.37542496563026,7.89511461307906,12.5140269073432,10.2193778581804,9.14709920704104,11.0749285740146,9.69454297606848
"Gene_7",11.9218324119784,7.38621407182934,11.4627798598223,11.16973224104,9.61123691259679,13.7609630707461,7.88687137938153,14.7545808087434,10.4078081457044,10.0985790792045,10.900998742155,12.606243617725,15.2231654281067,12.191057192629,12.4398276433307,8.35726097969052,8.77323349159445,9.05666627991098,6.63571697130947,7.2039101111313,10.4642216028278,9.70875269177128,7.50133206222737,7.24431269630256,6.7071584769376,3.24089970996185,6.23015471793994,6.57157855465243,10.4439914455444,9.84135743669408
"Gene_8",8.46987753078693,9.71263778820792,11.7512845203696,14.155980397495,10.612914552421,10.534393171549,12.0896878529216,9.90675273847218,12.6475598810062,11.6322226610724,14.1186058524924,11.27958723053,7.61073220223616,10.9667201496304,8.13764272082331,9.20381803914211,9.26676341726465,6.86557076721085,5.25504421345325,8.27210445484581,10.9900493475475,8.98227103293864,9.2136034302426,12.6169199821587,3.83605011941662,7.09149213732429,10.039326988712,6.4416613165668,7.94275624475078,14.141329724868
"Gene_9",9.62629429621295,15.0920377042656,8.6140629634038,10.0726925125888,12.8737879836298,7.79871334548974,11.6555376448217,11.416632224962,9.73841545573701,15.8121363546824,10.1907521199103,10.4201055801619,11.7427076003203,12.9447635882304,11.4472967479257,8.52226875916453,6.17068630569987,6.37172805227813,6.58740298847195,5.89652446563093,7.67207292640345,8.1866081451153,8.20300259707041,9.83570196279159,7.56263713662844,7.87985163918234,8.75541875284889,9.09761046071846,8.65691907847439,7.82612948223339
"Gene_10",10.1086760598001,9.87847515773787,13.2650996836202,8.68294598820602,9.3558578007613,10.4032616458681,10.022381534392,9.70770819685023,8.92336954221636,13.6162537933158,12.5720521994167,10.2153873141375,13.0054703010376,10.6815428701291,10.5435689959328,8.60813132035507,6.88314905764083,6.38522140479133,12.3598914517896,5.55424148176807,5.23138976006567,7.89268474752271,9.49365636881354,5.64792288024067,7.89645604248527,9.72180122650986,4.63117495317956,5.05869103163768,7.84335043250191,9.51247080838289
